gene,mean_score,max_score,n_links,is_deg,is_metabolic,is_trained,category
PADI4_distal,0.31866835443038,0.576,79,FALSE,FALSE,FALSE,Background
ATP13A2_distal,0.280613043478261,0.4579,23,FALSE,FALSE,FALSE,Background
ATP13A2_distal;SDHB_distal,0.245454545454545,0.3233,11,FALSE,FALSE,FALSE,Background
SDHB,-0.2276,-0.2276,1,TRUE,FALSE,FALSE,Other DEG
PADI3_distal;PADI1_distal,0.278235,0.4496,60,FALSE,FALSE,FALSE,Background
RCC2-AS1_distal;PADI6_distal,0.307744186046512,0.6296,43,FALSE,FALSE,FALSE,Background
RCC2_distal,0.288875,0.7567,48,FALSE,FALSE,FALSE,Background
PADI4,0.325890243902439,0.6085,41,FALSE,FALSE,FALSE,Background
PADI6_distal,0.346325925925926,0.6499,27,FALSE,FALSE,FALSE,Background
RCC2-AS1;RCC2_distal,0.2466,0.2886,8,FALSE,FALSE,FALSE,Background
RCC2,-0.06747,0.3225,20,FALSE,FALSE,FALSE,Background
ARHGEF10L_distal,0.359477235772358,0.7646,123,FALSE,FALSE,FALSE,Background
ARHGEF10L,0.410068571428571,0.7841,35,TRUE,FALSE,FALSE,Other DEG
PAX7_distal,0.269123636363636,0.5089,55,FALSE,FALSE,FALSE,Background
ALDH4A1_distal;IFFO2_distal,-0.10866,0.3274,15,FALSE,FALSE,FALSE,Background
IFFO2_distal,0.0911568181818182,0.5243,44,FALSE,FALSE,FALSE,Background
UBR4_distal;AL137127.1_distal,0.114258695652174,0.6152,46,FALSE,FALSE,FALSE,Background
UBR4_distal,0.0336574468085106,0.501,47,FALSE,FALSE,FALSE,Background
UBR4;EMC1-AS1,0.0807,0.3454,14,FALSE,FALSE,FALSE,Background
SLC66A1_distal,0.0590647058823529,0.4848,17,FALSE,FALSE,FALSE,Background
CAPZB_distal,0.158206756756757,0.611,74,FALSE,FALSE,FALSE,Background
CAPZB_distal;MICOS10_distal,0.0279848739495798,0.5635,119,FALSE,FALSE,FALSE,Background
MICOS10_distal;NBL1_distal,0.041663888888889,0.4734,36,FALSE,FALSE,FALSE,Background
PLA2G5_distal,0.257268421052632,0.5222,19,FALSE,FALSE,FALSE,Background
TMCO4_distal;HTR6_distal,-0.01954,0.4108,20,FALSE,FALSE,FALSE,Background
UBXN10_distal;UBXN10-AS1,0.0125,0.319,10,FALSE,FALSE,FALSE,Background
NBL1,0.0365464285714286,0.4592,28,FALSE,FALSE,FALSE,Background
HTR6,-0.03435625,0.3637,16,FALSE,FALSE,FALSE,Background
HTR6_distal,0.0163444444444444,0.2697,9,FALSE,FALSE,FALSE,Background
UBXN10-AS1_distal;UBXN10,-0.0739133333333333,0.3346,15,FALSE,FALSE,FALSE,Background
CAMK2N1_distal,-0.150733333333333,0.4421,33,FALSE,FALSE,FALSE,Background
CAMK2N1,-0.1755925,0.4128,40,FALSE,FALSE,FALSE,Background
CDA_distal,0.166873728813559,0.6994,236,FALSE,FALSE,FALSE,Background
CDA,0.218713432835821,0.7834,67,FALSE,FALSE,FALSE,Background
DDOST_distal;KIF17_distal,0.0944125,0.3712,8,FALSE,FALSE,FALSE,Background
PLA2G2C_distal,0.131,0.3532,8,FALSE,FALSE,FALSE,Background
